data_venda,id_venda,tipo_cliente,produto,marca,quantidade,preco_unitario,canal_venda,forma_pagamento,cnpj
10/01/2024,200000,comercio,gas_p45,Fogás,22,380.0,balcao,boleto,59.668.618/0001-55
25/01/2024,200001,comercio,agua_500ml,Crystal,8,2.5,whatsapp,credito,67.847.386/0001-39
Jan-28-24,200002,consumidor_final,galao_25l,Lindoya,16,26.0,comercial,boleto,
Jan-18-24,200003,comercio,gas_p13,Ultragaz,32,110.0,telefone,dinheiro,59.561.324/0001-28
07-01-2024,200004,consumidor_final,gas_p45,Fogás,45,380.0,comercial,boleto,
2024-01-06,200005,comercio,gas_p45,Copagaz,9,380.0,comercial,debito,60.110.631/0001-53
19/01/2024,200006,comercio,galao_25l,Bonafont,9,26.0,telefone,credito,66.716.473/0001-72
09-01-2024,200007,comercio,galao_25l,Bonafont,30,26.0,balcao,debito,55.681.887/0001-39
09-01-2024,200008,comercio,agua_500ml,Minalba,11,"R$ 2,5",comercial,credito,54.135.706/0001-88
Jan-05-24,200009,comercio,gas_p45,Copagaz,-5,380.0,balcao,pix,38.962.535/0001-23
Jan-12-24,200010,comercio,gas_p13,Ultragaz,49,"R$ 110,0",whatsapp,debito,
26/01/2024,200011,comercio,agua_500ml,Crystal,45,2.5,balcao,boleto,80.378.308/0001-73
21/01/2024,200012,comercio,galao_25l,Lindoya,17,26.0,balcao,boleto,91.221.790/0001-10
Jan-02-24,200013,comercio,gas_p13,Ultragaz,10,110.0,whatsapp,credito,12.452.921/0001-75
Jan-20-24,200014,consumidor_final,gas_p45,Copagaz,36,"380,0",balcao,boleto,
21-01-2024,200015,comercio,agua_500ml,Crystal,4,2.5,whatsapp,credito,33.807.384/0001-70
21/01/2024,200016,comercio,gas_p13,Liquigás,26,110.0,comercial,dinheiro,17.187.737/0001-42
27/01/2024,200017,consumidor_final,galao_25l,Bonafont,2,26.0,balcao,credito,
27/01/2024,200018,consumidor_final,gas_p45,Fogás,36,380.0,comercial,credito,
Jan-24-24,200019,comercio,galao_25l,Lindoya,17,26.0,comercial,pix,41.364.965/0001-28
Jan-28-24,200020,comercio,gas_p13,Ultragaz,37,110.0,balcao,credito,78.420.252/0001-38
Jan-11-24,200021,comercio,gas_p45,Copagaz,42,380.0,whatsapp,dinheiro,56.307.158/0001-16
2024-01-14,200022,comercio,galao_25l,Bonafont,-5,26.0,telefone,debito,49.562.805/0001-83
13-01-2024,200023,comercio,agua_500ml,Crystal,37,"R$ 2,5",whatsapp,pix,92.261.254/0001-52
24-01-2024,200024,comercio,galao_25l,Lindoya,37,26.0,whatsapp,pix,69.837.217/0001-95
13-01-2024,200025,comercio,gas_p45,Fogás,39,380.0,comercial,debito,
08/01/2024,200026,comercio,agua_500ml,Minalba,-5,"R$ 2,5",comercial,dinheiro,12.816.885/0001-67
05-01-2024,200027,comercio,gas_p13,Liquigás,18,"R$ 110,0",balcao,boleto,73.111.197/0001-35
30-01-2024,200028,comercio,gas_p13,Ultragaz,37,110.0,balcao,debito,57.289.588/0001-97
Jan-08-24,200029,comercio,agua_500ml,Crystal,25,2.5,whatsapp,boleto,33.333.142/0001-17
2024-01-20,200030,comercio,gas_p45,Copagaz,8,380.0,balcao,pix,81.619.703/0001-74
2024-01-13,200031,comercio,galao_25l,Bonafont,47,26.0,telefone,debito,13.652.556/0001-70
Jan-12-24,200032,comercio,galao_25l,Lindoya,45,26.0,telefone,boleto,81.508.331/0001-21
04-01-2024,200033,comercio,gas_p13,Ultragaz,13,110.0,comercial,,69.202.601/0001-18
10/01/2024,200034,comercio,galao_25l,Bonafont,10,26.0,whatsapp,credito,83.243.998/0001-68
27/01/2024,200035,consumidor_final,agua_500ml,Minalba,7,2.5,balcao,credito,
10-01-2024,200036,consumidor_final,gas_p13,Liquigás,30,110.0,whatsapp,credito,
07-01-2024,200037,comercio,galao_25l,Bonafont,6,26.0,balcao,credito,59.412.921/0001-88
01/01/2024,200038,consumidor_final,gas_p45,Copagaz,12,"380,0",balcao,pix,
2024-01-14,200039,comercio,agua_500ml,Minalba,39,2.5,whatsapp,credito,79.193.998/0001-41
2024-01-17,200040,comercio,gas_p45,Copagaz,29,380.0,balcao,debito,99.946.563/0001-53
13-01-2024,200041,consumidor_final,galao_25l,Bonafont,-5,26.0,comercial,credito,
Jan-28-24,200042,comercio,gas_p45,Copagaz,44,380.0,comercial,dinheiro,13.770.376/0001-88
2024-01-24,200043,comercio,galao_25l,Bonafont,11,26.0,telefone,boleto,78.830.261/0001-36
16-01-2024,200044,comercio,galao_25l,Lindoya,10,26.0,telefone,boleto,11.991.994/0001-77
02/01/2024,200045,consumidor_final,agua_500ml,Crystal,12,2.5,comercial,debito,
05/01/2024,200046,comercio,galao_25l,Bonafont,23,26.0,comercial,boleto,74.775.196/0001-40
Jan-18-24,200047,comercio,agua_500ml,Minalba,4,2.5,balcao,pix,93.951.550/0001-55
Jan-23-24,200048,consumidor_final,agua_500ml,Crystal,29,2.5,comercial,credito,
2024-01-23,200049,consumidor_final,galao_25l,Lindoya,48,26.0,balcao,dinheiro,
2024-01-05,200050,comercio,agua_500ml,Crystal,38,2.5,balcao,debito,47.108.855/0001-10
Jan-11-24,200051,comercio,agua_500ml,Crystal,31,2.5,balcao,pix,
2024-01-17,200052,comercio,agua_500ml,Crystal,35,2.5,balcao,boleto,98.324.524/0001-55
23/01/2024,200053,comercio,galao_25l,Lindoya,19,26.0,comercial,pix,26.897.682/0001-59
2024-01-22,200054,comercio,gas_p13,Ultragaz,9,110.0,comercial,credito,52.916.852/0001-40
30/01/2024,200055,comercio,galao_25l,Bonafont,49,26.0,whatsapp,boleto,32.796.137/0001-47
Jan-25-24,200056,comercio,gas_p45,Copagaz,20,380.0,comercial,credito,
2024-01-10,200057,comercio,galao_25l,Bonafont,21,26.0,whatsapp,credito,65.950.619/0001-60
2024-01-24,200058,comercio,gas_p13,Liquigás,24,"110,0",whatsapp,boleto,14.986.294/0001-20
08-01-2024,200059,comercio,agua_500ml,Crystal,7,2.5,whatsapp,boleto,60.212.255/0001-84
Jan-02-24,200060,comercio,agua_500ml,Crystal,28,2.5,telefone,dinheiro,17.597.226/0001-27
Jan-30-24,200061,comercio,galao_25l,Bonafont,25,26.0,balcao,debito,19.673.383/0001-97
2024-01-05,200062,comercio,gas_p13,Ultragaz,29,110.0,balcao,debito,15.325.916/0001-31
01-01-2024,200063,comercio,gas_p13,Ultragaz,1,110.0,telefone,debito,16.990.495/0001-68
2024-01-07,200064,consumidor_final,gas_p45,Copagaz,22,380.0,balcao,credito,
31-01-2024,,comercio,gas_p13,Liquigás,45,110.0,balcao,dinheiro,54.159.199/0001-63
Jan-07-24,200066,consumidor_final,gas_p45,Fogás,38,380.0,telefone,boleto,
2024-01-06,200067,comercio,galao_25l,Lindoya,47,26.0,comercial,boleto,39.437.179/0001-56
31-01-2024,200068,comercio,galao_25l,Bonafont,48,26.0,telefone,boleto,
27/01/2024,200069,comercio,agua_500ml,Crystal,31,2.5,telefone,boleto,55.944.971/0001-35
23-01-2024,200070,consumidor_final,galao_25l,Bonafont,37,26.0,comercial,debito,
Jan-26-24,200071,comercio,galao_25l,Lindoya,22,26.0,balcao,debito,
16-01-2024,200072,consumidor_final,agua_500ml,Crystal,23,2.5,telefone,dinheiro,
