data_venda,id_venda,tipo_cliente,produto,marca,quantidade,preco_unitario,canal_venda,forma_pagamento,cnpj,validacao_cnpj
2024-10-01,200000,comercio,gas_p45,Fogás,22,380.0,balcao,boleto,59.668.618/0001-55,OK
2024-01-25,200001,comercio,agua_500ml,Crystal,8,2.5,whatsapp,credito,67.847.386/0001-39,OK
2024-01-28,200002,consumidor_final,galao_25l,Lindoya,16,26.0,comercial,boleto,,OK
2024-01-18,200003,comercio,gas_p13,Ultragaz,32,110.0,telefone,dinheiro,59.561.324/0001-28,OK
2024-07-01,200004,consumidor_final,gas_p45,Fogás,45,380.0,comercial,boleto,,OK
2024-01-06,200005,comercio,gas_p45,Copagaz,9,380.0,comercial,debito,60.110.631/0001-53,OK
2024-01-19,200006,comercio,galao_25l,Bonafont,9,26.0,telefone,credito,66.716.473/0001-72,OK
2024-09-01,200007,comercio,galao_25l,Bonafont,30,26.0,balcao,debito,55.681.887/0001-39,OK
2024-09-01,200008,comercio,agua_500ml,Minalba,11,"R$ 2,5",comercial,credito,54.135.706/0001-88,OK
2024-01-05,200009,comercio,gas_p45,Copagaz,1,380.0,balcao,pix,38.962.535/0001-23,OK
2024-01-12,200010,comercio,gas_p13,Ultragaz,49,"R$ 110,0",whatsapp,debito,,PENDENTE
2024-01-26,200011,comercio,agua_500ml,Crystal,45,2.5,balcao,boleto,80.378.308/0001-73,OK
2024-01-21,200012,comercio,galao_25l,Lindoya,17,26.0,balcao,boleto,91.221.790/0001-10,OK
2024-01-02,200013,comercio,gas_p13,Ultragaz,10,110.0,whatsapp,credito,12.452.921/0001-75,OK
2024-01-20,200014,consumidor_final,gas_p45,Copagaz,36,"380,0",balcao,boleto,,OK
2024-01-21,200015,comercio,agua_500ml,Crystal,4,2.5,whatsapp,credito,33.807.384/0001-70,OK
2024-01-21,200016,comercio,gas_p13,Liquigás,26,110.0,comercial,dinheiro,17.187.737/0001-42,OK
2024-01-27,200017,consumidor_final,galao_25l,Bonafont,2,26.0,balcao,credito,,OK
2024-01-27,200018,consumidor_final,gas_p45,Fogás,36,380.0,comercial,credito,,OK
2024-01-24,200019,comercio,galao_25l,Lindoya,17,26.0,comercial,pix,41.364.965/0001-28,OK
2024-01-28,200020,comercio,gas_p13,Ultragaz,37,110.0,balcao,credito,78.420.252/0001-38,OK
2024-01-11,200021,comercio,gas_p45,Copagaz,42,380.0,whatsapp,dinheiro,56.307.158/0001-16,OK
2024-01-14,200022,comercio,galao_25l,Bonafont,1,26.0,telefone,debito,49.562.805/0001-83,OK
2024-01-13,200023,comercio,agua_500ml,Crystal,37,"R$ 2,5",whatsapp,pix,92.261.254/0001-52,OK
2024-01-24,200024,comercio,galao_25l,Lindoya,37,26.0,whatsapp,pix,69.837.217/0001-95,OK
2024-01-13,200025,comercio,gas_p45,Fogás,39,380.0,comercial,debito,,PENDENTE
2024-08-01,200026,comercio,agua_500ml,Minalba,1,"R$ 2,5",comercial,dinheiro,12.816.885/0001-67,OK
2024-05-01,200027,comercio,gas_p13,Liquigás,18,"R$ 110,0",balcao,boleto,73.111.197/0001-35,OK
2024-01-30,200028,comercio,gas_p13,Ultragaz,37,110.0,balcao,debito,57.289.588/0001-97,OK
2024-01-08,200029,comercio,agua_500ml,Crystal,25,2.5,whatsapp,boleto,33.333.142/0001-17,OK
2024-01-20,200030,comercio,gas_p45,Copagaz,8,380.0,balcao,pix,81.619.703/0001-74,OK
2024-01-13,200031,comercio,galao_25l,Bonafont,47,26.0,telefone,debito,13.652.556/0001-70,OK
2024-01-12,200032,comercio,galao_25l,Lindoya,45,26.0,telefone,boleto,81.508.331/0001-21,OK
2024-04-01,200033,comercio,gas_p13,Ultragaz,13,110.0,comercial,Não Informado,69.202.601/0001-18,OK
2024-10-01,200034,comercio,galao_25l,Bonafont,10,26.0,whatsapp,credito,83.243.998/0001-68,OK
2024-01-27,200035,consumidor_final,agua_500ml,Minalba,7,2.5,balcao,credito,,OK
2024-10-01,200036,consumidor_final,gas_p13,Liquigás,30,110.0,whatsapp,credito,,OK
2024-07-01,200037,comercio,galao_25l,Bonafont,6,26.0,balcao,credito,59.412.921/0001-88,OK
2024-01-01,200038,consumidor_final,gas_p45,Copagaz,12,"380,0",balcao,pix,,OK
2024-01-14,200039,comercio,agua_500ml,Minalba,39,2.5,whatsapp,credito,79.193.998/0001-41,OK
2024-01-17,200040,comercio,gas_p45,Copagaz,29,380.0,balcao,debito,99.946.563/0001-53,OK
2024-01-13,200041,consumidor_final,galao_25l,Bonafont,1,26.0,comercial,credito,,OK
2024-01-28,200042,comercio,gas_p45,Copagaz,44,380.0,comercial,dinheiro,13.770.376/0001-88,OK
2024-01-24,200043,comercio,galao_25l,Bonafont,11,26.0,telefone,boleto,78.830.261/0001-36,OK
2024-01-16,200044,comercio,galao_25l,Lindoya,10,26.0,telefone,boleto,11.991.994/0001-77,OK
2024-02-01,200045,consumidor_final,agua_500ml,Crystal,12,2.5,comercial,debito,,OK
2024-05-01,200046,comercio,galao_25l,Bonafont,23,26.0,comercial,boleto,74.775.196/0001-40,OK
2024-01-18,200047,comercio,agua_500ml,Minalba,4,2.5,balcao,pix,93.951.550/0001-55,OK
2024-01-23,200048,consumidor_final,agua_500ml,Crystal,29,2.5,comercial,credito,,OK
2024-01-23,200049,consumidor_final,galao_25l,Lindoya,48,26.0,balcao,dinheiro,,OK
2024-01-05,200050,comercio,agua_500ml,Crystal,38,2.5,balcao,debito,47.108.855/0001-10,OK
2024-01-11,200051,comercio,agua_500ml,Crystal,31,2.5,balcao,pix,,PENDENTE
2024-01-17,200052,comercio,agua_500ml,Crystal,35,2.5,balcao,boleto,98.324.524/0001-55,OK
2024-01-23,200053,comercio,galao_25l,Lindoya,19,26.0,comercial,pix,26.897.682/0001-59,OK
2024-01-22,200054,comercio,gas_p13,Ultragaz,9,110.0,comercial,credito,52.916.852/0001-40,OK
2024-01-30,200055,comercio,galao_25l,Bonafont,49,26.0,whatsapp,boleto,32.796.137/0001-47,OK
2024-01-25,200056,comercio,gas_p45,Copagaz,20,380.0,comercial,credito,,PENDENTE
2024-01-10,200057,comercio,galao_25l,Bonafont,21,26.0,whatsapp,credito,65.950.619/0001-60,OK
2024-01-24,200058,comercio,gas_p13,Liquigás,24,"110,0",whatsapp,boleto,14.986.294/0001-20,OK
2024-08-01,200059,comercio,agua_500ml,Crystal,7,2.5,whatsapp,boleto,60.212.255/0001-84,OK
2024-01-02,200060,comercio,agua_500ml,Crystal,28,2.5,telefone,dinheiro,17.597.226/0001-27,OK
2024-01-30,200061,comercio,galao_25l,Bonafont,25,26.0,balcao,debito,19.673.383/0001-97,OK
2024-01-05,200062,comercio,gas_p13,Ultragaz,29,110.0,balcao,debito,15.325.916/0001-31,OK
2024-01-01,200063,comercio,gas_p13,Ultragaz,1,110.0,telefone,debito,16.990.495/0001-68,OK
2024-01-07,200064,consumidor_final,gas_p45,Copagaz,22,380.0,balcao,credito,,OK
2024-01-07,200066,consumidor_final,gas_p45,Fogás,38,380.0,telefone,boleto,,OK
2024-01-06,200067,comercio,galao_25l,Lindoya,47,26.0,comercial,boleto,39.437.179/0001-56,OK
2024-01-31,200068,comercio,galao_25l,Bonafont,48,26.0,telefone,boleto,,PENDENTE
2024-01-27,200069,comercio,agua_500ml,Crystal,31,2.5,telefone,boleto,55.944.971/0001-35,OK
2024-01-23,200070,consumidor_final,galao_25l,Bonafont,37,26.0,comercial,debito,,OK
2024-01-26,200071,comercio,galao_25l,Lindoya,22,26.0,balcao,debito,,PENDENTE
2024-01-16,200072,consumidor_final,agua_500ml,Crystal,23,2.5,telefone,dinheiro,,OK
2024-01-18,200073,comercio,gas_p45,Fogás,7,380.0,balcao,credito,60.196.291/0001-13,OK
2024-01-31,200074,comercio,gas_p13,Ultragaz,21,110.0,balcao,debito,48.273.995/0001-68,OK
2024-01-28,200075,consumidor_final,agua_500ml,Minalba,30,2.5,balcao,debito,,OK
2024-01-13,200076,consumidor_final,agua_500ml,Crystal,22,2.5,balcao,pix,,OK
2024-01-14,200077,comercio,agua_500ml,Crystal,1,2.5,comercial,pix,95.433.139/0001-15,OK
2024-01-30,200078,comercio,agua_500ml,Minalba,36,2.5,balcao,pix,62.977.673/0001-23,OK
2024-01-05,200079,comercio,gas_p13,Ultragaz,15,110.0,telefone,debito,34.128.987/0001-45,OK
2024-08-01,200080,comercio,gas_p13,Liquigás,28,110.0,balcao,debito,,PENDENTE
2024-01-21,200081,consumidor_final,agua_500ml,Crystal,26,2.5,comercial,debito,,OK
2024-01-18,200082,comercio,galao_25l,Lindoya,28,26.0,telefone,boleto,,PENDENTE
2024-01-23,200083,comercio,gas_p13,Ultragaz,15,110.0,whatsapp,credito,63.824.668/0001-71,OK
2024-01-04,200084,comercio,gas_p45,Fogás,26,380.0,comercial,debito,22.732.198/0001-98,OK
2024-01-01,200085,consumidor_final,gas_p45,Fogás,26,380.0,balcao,pix,,OK
2024-01-16,200086,comercio,galao_25l,Lindoya,17,"26,0",balcao,credito,11.467.170/0001-78,OK
2024-01-31,200087,comercio,gas_p13,Ultragaz,18,110.0,balcao,boleto,31.875.275/0001-18,OK
2024-01-12,200088,comercio,galao_25l,Lindoya,24,26.0,whatsapp,debito,,PENDENTE
2024-01-29,200089,comercio,gas_p45,Fogás,7,380.0,balcao,pix,,PENDENTE
2024-01-13,200090,comercio,gas_p13,Ultragaz,34,110.0,balcao,boleto,77.185.404/0001-49,OK
2024-01-17,200091,comercio,galao_25l,Bonafont,44,26.0,whatsapp,credito,94.290.795/0001-31,OK
2024-01-09,200092,comercio,galao_25l,Bonafont,13,26.0,whatsapp,dinheiro,79.408.733/0001-67,OK
2024-10-01,200093,comercio,agua_500ml,Crystal,27,"R$ 2,5",telefone,credito,27.764.992/0001-18,OK
2024-02-01,200094,comercio,agua_500ml,Crystal,10,2.5,balcao,dinheiro,47.919.533/0001-51,OK
2024-07-01,200095,consumidor_final,galao_25l,Bonafont,38,26.0,comercial,boleto,,OK
2024-05-01,200096,comercio,galao_25l,Lindoya,36,"R$ 26,0",telefone,Não Informado,68.739.297/0001-44,OK
2024-01-05,200098,comercio,gas_p13,Liquigás,36,110.0,comercial,credito,75.207.601/0001-58,OK
2024-01-24,200099,comercio,galao_25l,Bonafont,35,26.0,whatsapp,dinheiro,16.478.212/0001-36,OK
2024-01-04,200100,consumidor_final,galao_25l,Lindoya,47,26.0,telefone,credito,,OK
2024-01-18,200101,comercio,gas_p13,Ultragaz,10,110.0,balcao,Não Informado,81.910.414/0001-22,OK
2024-01-21,200102,comercio,agua_500ml,Crystal,33,2.5,whatsapp,debito,34.370.919/0001-69,OK
2024-07-01,200103,comercio,gas_p45,Fogás,11,380.0,whatsapp,dinheiro,,PENDENTE
2024-01-14,200104,consumidor_final,gas_p13,Ultragaz,9,110.0,balcao,debito,,OK
2024-01-22,200105,consumidor_final,gas_p45,Copagaz,23,"380,0",balcao,dinheiro,,OK
2024-01-25,200106,comercio,galao_25l,Bonafont,19,"R$ 26,0",whatsapp,dinheiro,30.751.573/0001-62,OK
2024-01-15,200107,comercio,galao_25l,Lindoya,7,26.0,comercial,credito,75.112.756/0001-12,OK
2024-01-12,200108,comercio,gas_p13,Liquigás,6,110.0,whatsapp,pix,36.381.384/0001-88,OK
2024-03-01,200109,comercio,gas_p13,Ultragaz,8,110.0,whatsapp,pix,48.829.703/0001-31,OK
2024-01-05,200110,comercio,galao_25l,Bonafont,1,"R$ 26,0",comercial,pix,66.807.675/0001-66,OK
2024-01-17,200111,comercio,gas_p45,Fogás,34,380.0,telefone,boleto,27.426.357/0001-93,OK
2024-01-26,200112,comercio,agua_500ml,Minalba,48,"2,5",whatsapp,debito,83.660.180/0001-47,OK
